海花——羁绊剧情 1

羁绊等级：2

标题: 庆典很精彩。真的，真的，真的！

海花: 啊，老师！

海花: 耶嘿嘿。欢迎来到庆典！

海花: 让人有点晕头转向对吧？
海花: 我马上帮你导览。

老师: 不愧是百鬼夜行的庆典呢……

海花: 不，这种程度还不算特别厉害哦！

海花: 和「百夜之春樱花祭」、「漩涡电影村的娱乐庆典」、
海花: 「百鬼夜行灯笼祭」这类的正式庆典相比……

海花: 拿来跟那些比较的话，其他庆典都会变得不起眼？
海花: 这，这么一说好像是耶？

海花: 啊！我怎么能拿庆典来比较呢，这种行为打从一开始就是不好的！

海花: 每个庆典都有它独特的价值，承载著享受庆典的人们的热情！

海花: 真不愧是老师！
海花: 只要我一犯错就会严厉地指正我！

老师: 不是，我什么都没说吧！？

海花: 好的好的！快跟我来吧！首先这场庆典呢！
海花: 就像老师看到的一样，是供奉装有各式玩偶轿子的庆典！

海花: 虽然以前以制作公主模样的玩偶为主……

海花: 但现在已经不再拘泥于模样，
海花: 而是尽可能把各式华丽的玩偶装进轿子里，走遍大街小巷的庆典！

海花: 可能是因为这个原因……
海花: 在决定玩偶模样的过程中，商会与主办方周围似乎也会发生游说或贿赂之类的事情。

海花: 同时还会出现制作轿子的材料供给，以及配送契约等等复杂的问题……

老师: 怎么好像听见了某些不该听见的内幕……

海花: 总，总之！不管怎么样，有一个原则是不会改变的！
海花: 那就是会在轿子的正中央，建造一个和以前一样的大公主模样的灯笼！

海花: 接著来到这里之后！就可以看到为了纪念这场庆典特别制作的甜点哦！
海花: 有莲花造型的苹果糖，还有撒上用草莓和樱桃制成的粉色糖浆的刨冰！

海花: 请看！轿子后方开始表演了！
海花: 他们会随著音乐起舞，跟著轿子一起前进！

海花: 老师有入场券吗？太好了！入场券里包含的优惠券可以兑换四种东西哦！
海花: 像是面具、扇子之类的，或者吃的东西也不错！

海花: 呼啊……追著轿子跑果然很累呢……

老师: 我再次感受到了，海花真的很喜欢庆典呢。

海花: 我……吗？

海花: 耶嘿嘿……亲耳听到老师这么说，还真是不好意思……

海花: ……

海花: 是的，我很喜欢庆典。

海花: 庆典……是为了大家举办的对吧？

海花: 暂时忘记日常生活，跳脱生活的框架，前往梦想的世界……

海花: 一想到我的工作就是准备和创造那个梦想世界，总是会兴奋得心痒难耐！

海花: 嗯？听起来好像跟主题乐园的概念有点类似？

海花: 当，当然某些部分看起来确实有点像没错！

海花: 不过……庆典会更加生动！

老师: 生动……？

海花: 那个，也就是说……

海花: 请看！不管是哪种庆典，都没有完全一样的对吧？

海花: 就拿这次玩偶轿子庆典来说，
海花: 去年在轿子里的玩偶，跟今年在轿子里的玩偶就是不同的！

海花: 虽然那也是因为商会去年出品的玩偶，今年没办法出品……

海花: 还有准备庆典的时候也是！虽然……不知道是不是只有我会这样，
海花: 但我总是会以不同的心情，来准备和期待下一次的庆典！

海花: 所以，虽然让人们看见梦想世界这点有些类似，但庆典和主题乐园之间──

<选择>
1. 老师: 你先冷静，海花。

2. 老师: 我已经很清楚海花的热情了。

</选择>

海花: 啊……！对，对不起。
海花: 我一个人突然兴奋地说个不停……

海花: 咦？我的那种样子很新鲜很棒？
海花: 呜呜……那个，总觉得有点害羞……

海花: 既然如此！老师你是主题乐园派还是庆典派呢！？

老师: 我应该算是两边都想享受的那一派……

海花: 咦？不是「享受」而是「想享受」吗？
海花: 为什么这么说呢……？

海花: 啊……因为夏莱工作的关系，不管是主题乐园还是庆典都很难好好享受……？

海花: 对，对不起，老师。
海花: 我好像问了不该问的问题……

老师: 没关系没关系。

海花: 唔……如果因为工作而难以安排庆典行程的话，那么……

海花: ！！

老师: 怎么了吗，海花同学。

海花: 不，没什么！只是……

海花: 呵呵呵。应该说想到了一个好主意吧？

海花: 想知道是什么主意？
海花: 那个……现在还是秘密！

海花: 话说回来，老师！难得老师能来到庆典现场，我再多带你绕绕吧！

海花: 别担心！再怎么说我也是百鬼夜行最棒的庆典专家……朝这个目标努力的人呀！

旁白: （就这样和海花一起走遍庆典现场的每个地方……）
