洁莉诺——羁绊剧情 5

羁绊等级：8
场景地点：赤冬联邦学园．会长办公室

标题: 恶梦

洁莉诺: 嘻……一个布丁……两个布丁……

洁莉诺: 哇！？

旁白: 赤冬联邦学园．会长办公室

洁莉诺: 啊，啊……竟然在工作时间睡著了……

洁莉诺: 是因为最近持续高强度地工作所以累积了疲劳吗……
洁莉诺: 看来增加一点午休的时间比较好呢。

洁莉诺: 嗯……呃，咱睡了多久……

洁莉诺: ……下午5点？
洁莉诺: 点心时间都过了不是吗！

洁莉诺: 就算咱睡著了，把咱丢在一边自己吃点心这种事也绝不容许！

洁莉诺: 亲卫队！亲卫队在吗！

亲卫队: 怎么了怎么了，是谁在这个办公室里面吵啊？

洁莉诺: 什么！？竟敢说洁莉诺大人吵！？这个无礼的家伙，注意你的用词！

洁莉诺: 咱可是能对你处以扫厕所一个月的刑罚喔！？

亲卫队: ……你是哪位，为什么有个小不点在这？

洁莉诺: 小，小不点！？！？

洁莉诺: 你难道连咱是谁都不知道吗？是新来的啊！？

洁莉诺: 咱可是赤冬联邦学园的学生会长，
洁莉诺: 兼书记长，兼环境美化部部长，兼清扫部部长的洁莉诺大人啊！？

亲卫队: 啊？像你这种小不点怎么可能是赤冬联邦学园的学生会长啊？

洁莉诺: 你在说什么！看吧，挂在那面墙上的咱帅气的肖像画……

洁莉诺: 没，没有！？

洁莉诺: 咱的肖像画跑哪去了！？

洁莉诺: 连走廊上的铜像都……

洁莉诺: 所有赞颂咱的东西……全都不见了！？

洁莉诺: 这是怎么回事，难道有人在咱睡觉的时候发动革命了吗！？

旁白: （…………）

洁莉诺: 啊，同志！你来得正好！

洁莉诺: 你，你没有忘记咱吧？
洁莉诺: 没有忘记赤冬联邦学园学生会长兼书记长的咱吧？

旁白: （…………）

洁莉诺: 为，为什么要用哪种眼神看咱！你不可能忘了咱的吧！？

洁莉诺: 快想起来！
洁莉诺: ……拜托，求求你想起来吧……！

旁白: （…………）

洁莉诺: 算咱求你了……想起来嘛……

老师: ……洁莉诺？你还好吗？

洁莉诺: ……！

洁莉诺: 嗯，咦……？

老师: 你刚刚一直在说梦话，没事吧？

洁莉诺: 原，原来是梦啊……太好了……

洁莉诺: 真是的，那还真是可怕的梦……不只是亲卫队，就连同志你都忘记了咱的事……

洁莉诺: 就算咱天不怕地不怕，那种情景还是很让人错愕啊……

老师: 只是做梦真是太好了。

洁莉诺: 嗯……不，一点也不好！

洁莉诺: 其他人也就算了，同志！竟然连你都把咱给忘了！

老师: 那是梦里的事吧？

洁莉诺: 就算是在梦里也一样，同志就是同志！

洁莉诺: 作为补偿，咱要求最高级的布丁！

老师: 真不讲道理……

旁白: （……为了安抚闹著脾气，却又露出了真心难过表情的洁莉诺花了不少时间）
