风华——羁绊剧情 1

羁绊等级：2

标题: 要一起去采购吗？

风华: 啊，老师。您，您真的来了啊。

<选择>
1. 老师: 有什么事吗？

风华: 就是呢……其，其实我今天，打算去采购食材。

2. 老师: 风华炭叫我，我当然要来呀。

风华: 就是呢……其，其实我今天，打算去采购食材。

</选择>

风华: 但是量好像，会比想像中来得多。

风华: 但我也觉得请老师专程跑来帮忙好像也不太好……

老师: 如果有我能帮忙的地方，我很乐意帮忙。

风华: 呵呵，这么说来，老师为人就是这样呢。

风华: 我明白了，那今天就一起去采购吧。

风华: 今天有很多，很多食材不买不行呢♪

风华: 哇……每次来大型超市都好令人兴奋唷。

老师: 你很喜欢大型超市呢。

风华: 与其说我喜欢大型超市……

风华: 应该说只要感受到生鲜食品区的冷气，心情就会不禁雀跃起来。

风华: 看到架上五颜六色的蔬果，我的目光就会不禁被吸引过去。

风华: 感觉这就是食材的珠宝盒～

风华: 不觉得看了就很好吃吗？

老师: 唔嗯，是吗？

风华: 啊！老师您看这个黄瓜，表面还留著尖刺，好粗糙。

风华: ;蒂头也不会干燥保持著硬度。品质真的很好呢。

风华: 啊！这颗西瓜敲了会发出很好听的咚咚声，这也很优质呢！

老师: 风华很习惯逛超市呢。

风华: 啊，不好意思，我实在太开心了，不知不觉。啊哈哈……

风华: 或许不起眼，但我在学园提供的餐点，都有精挑细选过食材。

风华: ……当然就算准备的再细心，但毕竟是大量制作，难免会失去食材原有的风味。

风华: 有时也会收到大量投诉就是了……

老师: 我很清楚风华比谁都努力。

风华: 唔……又若无其事地说那种话……

风华: 别，别闲聊了！食材已经全都选好了。

老师: 现在只要结完帐，采购就结束了吗？

风华: 不，老师。

风华: 真正的采购现在才要开始。

老师: 现在才要开始……？

风华: 不好意思！我想买这边的商品。

商店主人: 请问有什么问题吗？这位客人？

风华: 这些青椒和黄瓜状态都很好。大小适中，品质也很棒。

风华: 相信用它们制作料理，一定能做出美味的料理。

风华: 每次来这里的时候，我都会为新鲜的品质感到惊叹。

商店主人: 谢谢，您是常客啊。请问您有什么需要的吗？

风华: 我想大量购买。

风华: 比格黑娜全体学生吃的份量还多。

商店主人: 嗯～是这样啊！……具体来说，您需要多少份量呢？

风华: 我希望能一次以这些量，购买这些品项……

风华: 请问是否能以这个价钱购买呢？

商店主人: 唔，嗯……这个价钱的话，会需要和区经理商量一下喔……

风华: 若贵店能以这个条件卖我，往后一个月包含其他学生餐厅的食材，都会在本店购买。

商店主人: 唔唔嗯……但这还是……！

商店主人: ……我知道了，这个条件的话就不需要商量了。那就照您刚才说的进行吧。

风华: 呵呵，感谢各位愿意接受我的条件。

老师: 风华真了不起……

风华: 我可是格黑娜供给部的部长，这种事对我来说是家常便饭！

风华: 好，那就回去吧。老师！

旁白: （之后我和风华，一起带著大量食材回到了格黑娜学园）
