GroupId: 34270

标题: 第27话尾声

日和: 我，我还是第一次走到这里……
日和: 会通往哪里呢……
敦子: 总之先前进吧。
敦子: 不管通向哪里，都会是我们第一次走出的道路。
日和: 嗯……确实是呢。
日和: ……咦。
日和: 队，队长呢！？
敦子: 咦？
日和: 队，队长应该跟在我们后面才对……
日和: 不，不见了！？
美咲: ……呿。
敦子: 美咲……？
美咲: 队长他，离开了……
日和: 离，离开了是什么意思？
美咲: 只对我说了大家交给妳了这句话……真是自作主张。
日和: 队长……为，为什么……
敦子: ……
美咲: 真狡猾啊，沙织。
美咲: 竟然用这种方式束缚我……
美咲: 这对我来说，过于沉重了……
敦子: ……没事的，美咲。
美咲: 公主……
敦子: 沙织他，还需要一些时间。
敦子: ──回顾自己、认识自己的时间。
敦子: 为了解答自己问题的时间……
日和: 队长她……沙织姊她还会回来吗？
敦子: 嗯……沙酱会回来的。
日和: 今后就要靠我们……自己活下去了吗？
敦子: 嗯……也不能总是依赖沙酱呢。
美咲: 嗯……
美咲: 我们接下来该怎么做呢……？
美咲: 奥利斯自治区、三一、格黑娜……都已经没有我们的容身之处了。
美咲: ……为了躲避追击，我想可能得在街上四处躲藏了。
美咲: 等著我们的，就是这种未来哦……公主。
敦子: 嗯……就算如此，我们也没问题的。
美咲: ……
日和: 公主酱……
美咲: 公主……这可不是件简单的事哦。
敦子: 不，我们没问题的。
美咲: ……
敦子: 要是因为这种事就泄气的话，就对在水泥缝隙中盛开的花太失礼了呢。
敦子: 梓那个时候，看著花这么说了。
敦子: 就算一切都是徒劳……也不该放弃继续抵抗。
敦子: 梓都把这句话贯彻到底了，我们不可能做不到的。
敦子: 我们的青春，是属于我们自己的。
敦子: 而且会有人默默守护著我们的……不是吗？
日和: ……妳指的是老师，吗。
美咲: ……嗯。
美咲: 确实呢。
敦子: 嗯，一起加油吧。
沙织: ……
黑市干部: ……咯咯。是新面孔呢。
黑市干部: 既然会到这里来，想必是有什么理由吧。
黑市干部: 只要有实力的话其他都无所谓。
黑市干部: 那么，妳想接什么委托呢？
黑市干部: 简单的？还是困难的？
沙织: 困难的……不，不管再怎么不可能的任务都会解决给你看的。
沙织: 给我报酬高的任务吧。
沙织: （我是犯罪者──也是受人追赶之人，今后也会继续过著辛苦的日子吧）
沙织: （但是，如果在那苦难旅途的尽头……）
沙织: （存在著我们的美好未来的话……）
敦子: 嗯，会到来的喔……我们也会……
敦子: ……在最后，迎接HappyEnd的。
敦子: 我们也是一样的吧，沙织。
弥香（非武装）: ……
渚: ……
圣亚: ……
圣亚: 老师……或许，我已经无法再看见预知梦了吧。
圣亚: 这就是──逃离那个梦境的代价。
圣亚: 在最后的预知梦里所看见的事……必须要告诉老师才行……
圣亚: 但是……在稍微远一点的未来再说也好吧？
圣亚: 现在……我想专注于聚集于此的，我们大家的「现在」。
圣亚: 然后……我们……
圣亚: 会像至今为止一样齐心协力──共同努力度过试炼的。
老师: 那么，开始听证会吧。
沙织: 等等，这和约好的不一样吧。
黑市干部: 嗯？你指的是什么？
沙织: 这是怎么回事？
沙织: 报酬连说好的一半都不到吧！！
黑市干部: 先破坏约定的是你才对吧。
黑市干部: 在我们的合约上也写了，学生的时薪是1000元。
黑市干部: 然而，你却隐瞒了自己已经辍学的事实不是吗？所以时薪只有500元。
沙织: 等一下……那是……
黑市干部: 再加上税金跟其他费用，扣掉餐费之后就是这个金额了……有什么问题吗？
黑市干部: 啊啊……而且，你似乎被通缉了呢。
黑市干部: 这件事被知道的话你也会很困扰的吧？
黑市干部: 所以还要再扣掉15%的封口费。
沙织: 等，等等……这样我的薪水……
黑市干部: 是0元呢。
黑市干部: 来，出口在那边。
黑市干部: 有什么想说的吗？
黑市干部: 还是要去女武神警察学园投诉我？
沙织: ……不，我知道了。
沙织: 就当作学个教训吧。
遥香: 打，打扰了。
黑市干部: 你是……之前委托的……！？
遥香: 是，是的……那，那个……
遥香: 因为有点问题……
黑市干部: 应该已经跟你们结算过了啊。
遥香: 是，是的……没，没，没错。
遥香: 你说得没错……所，所以……
遥香: 不，不可……
黑市干部: 不可？
遥香: 不可原谅！！！！！！！
黑市干部: 噫，噫！？救，救救我啊！？
遥香: 竟敢拖欠亚瑠大人的钱，绝对不可原谅！！！
遥香: ……哈啊，哈啊。
遥香: 亚，亚瑠大人说过，要好好打招呼……
遥香: 让，让他仔细算清楚……所，所以……
遥香: 这，这样，应该算，有好好打招呼了吧……？
沙织: ……
遥香: 啊，啊啊……！？
遥香: 竟然还有其他人在！？
遥香: 造，造成你的困扰，非，非常抱歉！！
沙织: ……不会，没什么。
遥香: 那，那么，再见了……
遥香: 我还得去设置炸弹才行……
沙织: 这就是地下世界的作法吗……
亚瑠: 你，你说什么──
遥香: 对，对不起……对不起……对不起……
遥香: 我以为「打招呼」指的就是这种事……又，又闯祸了。我，我还是去死吧？我可以去死吗？
佳世子: ……唉。
无月: 啊哈哈哈哈哈！笑死我了！！
无月: 遥香酱竟然真的去打招呼了。
无月: 而且旁边还有个看起来很可怕的同伙，接下来会发生什么事呢？
佳世子: 看来又要热闹起来了啊……唉。
