GroupId: 13060

标题: 第6话买卖契约

星野: 你说是梦前辈签的契约……？
债权团代表: 没错，契约的内容是──
债权团代表: 「阿拜多斯学生会」要向奈芙蒂斯收购沙漠横贯铁路附加设施的使用权利。
野乃美: 向奈芙蒂斯……？
当舖联盟长: ……自治区一旦没落，这样的权利就会沦为拿来交易的商品。
债权团代表: 虽然沙漠横贯铁路是「阿拜多斯学生会」和奈芙蒂斯一起推动的计划，
债权团代表: 但原则上这份权利是属于承包人，也就是学生会的。
债权团代表: 或许是为了还债，他们将权利卖给了奈芙蒂斯，
债权团代表: 而前任学生会长栀子梦打算再把它买回来吧。
高利贷劳动会长: 那份契约就在这里。
星野: ……让，让我看看。
星野: 买卖契约……「阿拜多斯学生会」以100万元，
星野: 向奈芙蒂斯收购沙漠横贯铁路附属设施使用权利……并立即支付签约金1万元……
星野: 本契约于签订后具有两年法律效力……同时需于期间内向奈芙蒂斯支付尾款……
星野: 关于未准时支付之延迟赔偿金……
星野: 阿拜多斯学生会长……栀子梦……
星野: ……
星野: …………没错。
星野: 这是前辈写的没错……是我每天都在看的笔迹……
债权团代表: 正是如此。这就是「阿拜多斯学生会」以100万元，
债权团代表: 向「奈芙蒂斯」购买沙漠横贯铁路附属设施使用权利的契约。
星野: 是，是在什么时候……
星野: 前辈他……在我不知道的时候……
星野: ……梦前辈留下的东西，我明明全部都知道的……
星野: 哪怕是一张纸、一个字条，就连垃圾我也全都……
星野: 但这份契约我却连看都没看过……
星野: 如果是以前的学生会还不好说，我怎么可能会遗漏梦前辈留下的痕迹……
债权团代表: 啊啊，因为这份契约还没有履行完毕，会不知道也是情有可原。
债权团代表: 毕竟契约中提及的款项也尚未完成支付啊。
绫音: 意思是这份契约还在进行中吗……？
债权团代表: 没错，契约的签订与签约金的交付都确认已经完成，
债权团代表: 然而却在尚未支付尾款的状态下，就这么维持了将近两年。
债权团代表: 在那之后逐渐变得乏人问津……
债权团代表: 随著时间过去，负责人似乎也离职了。
债权团代表: 而契约就这么被放置在文件仓库里，直到现在偶然被人发现。
茜香: 偶然……
老师: 偶然……
白子: 嗯……
高利贷劳动会长: 对我们来说，这个情况也很头痛。
高利贷劳动会长: 不要发现或许还比较好呢。
债权团代表: 这份契约导致我们没办法获得「沙漠横贯铁路」所有权利中的「附属设施使用权」。
高利贷劳动会长: 因为这项权利，目前仍处于「奈芙蒂斯」跟「阿拜多斯学生会」交易中的状态。
茜香: 所，所以呢……？
债权团代表: 所以我们想跟各位进行确认。
债权团代表: ──你们是否有意继续履行这份契约呢？
野乃美: 咦……？是为了问这个才特地来这里的吗？
当舖联盟长: 没错，因为这个问题对我们很重要。
高利贷劳动会长: 得把这件事处理好，才能在两天后的债权团大会上讨论「沙漠横贯铁路」的股份。
绫音: 债权团大会……？
茜香: 是什么讨债鬼聚会吗……
债权团代表: 是「私募基金」所有势力将齐聚一堂的大会。
债权团代表: 「阿拜多斯学生会」有向奈芙蒂斯支付尾款，买下这个权利的想法吗？
债权团代表: 身为契约当事人的星野同学？
星野: ……
茜香: 先等一下……突然莫名其妙地跑来这里，又马上要人决定要不要继续履行契约……
绫音: 不过就算买了那种权利……
绫音: 那个……尾款是100万元对吧？
绫音: 与其让债务继续增加……
债权团代表: 说得真好！真是明智的决定。
债权团代表: 这种废铁堆的权利才不值得花100万买下来！
债权团代表: 实际上各位现在也因为要偿还债务很辛苦了吧？
债权团代表: 没必要让债务变得更多。
债权团代表: 很好，那我就理解为各位没有继续履行的意愿啰？
债权团代表: 那么星野同学，请你在这份放弃同意书上签名……
债权团代表: 上面的内容是将所有权利转让给我们「私募基金」。
星野: 啊，等，等一下……？这么突然塞过来……？
老师: 先等一下。
债权团代表: 嗯？
【选项1】
老师: 签名这种事必须非常谨慎。
【选项2】
老师: 能麻烦你们稍等一会吗？
高利贷劳动会长: 唔……
债权团代表: 这……真伤脑筋。
当舖联盟长: 果然还是太急了吗……
债权团代表: 没关系，反正两天之后，这份合约就彻底失效了。
绫音: 两天……？
债权团代表: 你们看日期应该也知道，两天后就是这份为期两年的契约期满的日子。
债权团代表: 到时候契约就会自动失去效力。
债权团代表: 所以债权团大会的日期才会定在那一天。
债权团代表: 虽然本来希望能尽快解决……不过也就两天而已，再等一等也无所谓。
债权团代表: 我们现在明确地告诉各位。
债权团代表: 「私募基金」的债权团大会预计将在两天后，
债权团代表: 于阿拜多斯中央车站的区政厅大楼举行。
债权团代表: 如果想维持这份契约，只要在12点之前参加债权团大会，
债权团代表: 表明各位想要维持的意思，并进行公证就可以了。
债权团代表: 如果做得到的话。
野乃美: ……？
绫音: 做得到……的话……？
星野: ……
债权团代表: 两天后的正午12点，在中央车站的区政厅大楼，请千万别忘记了。
债权团代表: 就算只差一秒……一旦超过时间，契约就会失去效力。
债权团代表: ……我们要说的就是这些。
债权团代表: 感谢各位的耐心聆听。
高利贷劳动会长: 该说的都说完了。
当舖联盟长: 走吧。
野乃美: ……？
债权团代表: 快走吧，监察官。
债权团代表: 你还得护送我们啊！
苏芳: ……告辞。
白子: 嗯……
野乃美: ……
绫音: 那个……所以结论是……
茜香: 不不不！这件事怎么看都很可疑吧！！
绫音: 茜香酱……！？
茜香: 那些讨债鬼莫名其妙找上门来，说是偶然发现了这份契约，
茜香: 然后就叫我们决定要不要维持？
茜香: 什么跟什么啊？费这么大的功夫居然只是为了废铁的使用权？
茜香: 何必搞得这么慎重？
茜香: 这样反而很可疑！那些家伙一定隐瞒了什么！
茜香: ……怎样啦，白子前辈。
茜香: 为什么要用那种……好像觉得我很了不起的温柔眼神看著我？
白子: 嗯，我也同意。
白子: 如果连茜香都觉得可疑，那其中肯定有什么问题。
茜香: 虽然很感谢你的称赞，但总觉得有点不爽……
老师: 得先找出『沙漠横贯铁路』的秘密是什么才行。
野乃美: 嗯，老师说的对。
野乃美: 那项失败的事业背后，到底隐藏著什么秘密呢……

【选项3】
老师: 这是跟契约有关的事，我们要慎重一点。

【选项3的后续反应】
绫音: ……我知道了。

【选项4】
老师: 现在还有时间。

【选项4的后续反应】
绫音: ……我知道了。

【分支反应结束，进入共同剧情】

绫音: 星野前辈。
绫音: 看来解决这个问题的关键，似乎就在2年前的学生会长──栀子梦同学身上。
绫音: 不过……关于过去的事情，我们也只知道一些片段而已。
绫音: 那位叫做梦的学生会长……还有星野前辈以前发生了什么呢？
茜香: 绫，绫音酱……？
绫音: 星野前辈。请把「阿拜多斯学生会」时期发生的事情告诉我们。
绫音: 只有这样，我们才能准确掌握问题究竟出在哪里。
绫音: 野乃美前辈也知道些什么吧？
野乃美: 那，那个……
绫音: ……现在想想，这里也不是原本的学生会办公室，而是学园祭事务局的教室。
绫音: 而一楼那间被牢牢锁住的教室……
绫音: 那么多空教室当中，唯独只有那里锁著的确很奇怪。
绫音: 那里是原本的学生会办公室对吧，前辈？
绫音: 为什么只有那里被锁起来了呢？
白子: 嗯，我也很好奇。
白子: 学生会长怎么会签下增加学校债务的契约呢？
茜香: 咦？这件事连白子前辈都不知道吗？
白子: 唔……我也不知道详细的情况。
茜香: 说的也是……毕竟白子前辈是后来被其他前辈抓进来的。
白子: 才不是被抓……
野乃美: 先，先等一下。
野乃美: 大家突然这样的话，星野前辈会很困扰……
星野: ……不，没关系的。野乃美酱。
星野: 当时的学生会长……是个充满问题的人。
星野: 简单来说……那个人是个很容易被人利用的笨蛋。
星野: 经常会被卷入各种风波。
茜香: 这，这样啊……真亏那位前辈能毕业呢。
星野: ……不，他并没有毕业。
星野: ……梦前辈在毕业典礼之前失踪了。
绫音: ……！！
白子: 失踪……？
茜香: 失，失踪！？怎么回事？居然会失踪？
星野: 梦前辈突然行踪不明，后来在失踪33天之后……在阿拜多斯沙漠被人发现。
星野: 以光环被破坏的状态……
绫音: 光环……？
茜香: 怎，怎么会！？
星野: ……好像是场意外。
星野: 也许是在沙漠里遇难了吧……
茜香: 也许？遇难？实际情况到底是怎样！？能不能说得具体一点！
星野: ……我也不知道。
茜香: 啊！？
白子: 为什么？前辈不是副学生会长吗？
星野: 那是因为……
