GroupId: 102130

标题: 第13话「三一」自治区防卫（１）

实现正义部成员A: 请往这边！

实现正义部成员B: 大家，请往这边避难吧！

莲实: 三一自治区的避难引导由我们负责！
莲实: 麻白，请进行后方支援！

麻白: 是，莲实前辈！

志美子: 请进来这里！
志美子: 古书馆是三一历史悠久的建筑物，应该相对不易崩塌才对！

忧: 我的古书馆……我专属的基地啊……呜呜……

志美子: 委员长也真是的！这次是为了大家才开放的啊，
志美子: 请露出更愉快的表情！

忧: 啊啊……呜呜呜……

实现正义部成员A: 呜，呜哇！？

实现正义部成员B: 这里也有敌人啊！？

铃美: 看来人手不太够呢，我们也来帮忙。

澪纱: 是！
澪纱: 三一的「行走闪光弹」和自卫队的「超级巨星」到场了唷！

莲实: 自卫队的各位……！

铃美: 澪，澪纱……那个外号有点……

澪纱: 啊啊！话才说到一半就有敌袭！
澪纱: 这下危险了！

澪纱: ──但是！

澪纱: ……请别以为这种程度的攻击就能打败我宇沢澪纱哦！
澪纱: 铃美同学，你刚才有看见吗！我华丽的──

铃美: 抱歉，现在得立刻到那里去才行。
铃美: 走吧，澪纱同学。

澪纱: 啊，是！要发挥「行走闪光弹」的本领了对吧！

澪纱: 铃美同学～！等等我呀～！

千纱: ……

爱莉: 千纱酱，怎么了吗？

千纱: ……没什么，只是觉得还真有精神呢。

喜美: 话说，为什么我们不去避难呢？

夏: 哎呀哎呀，喜美君。我们可是放学后的甜点部唷？
夏: 面对这种紧急事态不是应该伸出援手吗？就像甜点一样。

喜美: 啊？你在说什么？而且那跟甜点无关吧。

爱莉: 但，但是……实现正义部的大家看起来很辛苦的样子……
爱莉: 如果我们能帮忙，他们说不定会很开心……

千纱: 说的没错。我们也出发吧。

爱莉: 嗯！

喜美: 唉……真没办法。

实现正义部成员C: 啊啊！那里出现了圣徒会的复制！

实现正义部成员D: 什么！？那边还没做好防御措施啊……！！

???: 砲手，请支援。

莲实: 这是……L118牵引式榴弹砲……？

???: 没错，莲实同学。正是如此。
???: 不觉得听起来很怀念吗？

莲实: 渚同学……圣亚同学……

麻白: ……我，好像是第一次在外面看见渚大人。

莲实: 感谢茶会的支援。

渚: 这不算什么。
渚: 如果连这点程度的事都办不到，将有损茶会的名声吧。

渚: 那么圣亚同学，请继续吧。

圣亚: 接下来……在东北方，座标是──

渚: ……

渚: 圣亚同学的预知能力虽然消失了……
渚: 不过该说是作为代替，还是该说获得了别的能力呢。

圣亚: 虽然不确定能不能算是能力……感觉变得很敏锐……

渚: ……「直觉」变好了，暂时先当成这样吧。

圣亚: ……弥香，你那边的情况怎么样呢？

弥香: 嗯，我这边没问题。
弥香: 我一个人就绰绰有余，加强你们那边的防御吧。

圣亚: ……知道了。请不要勉强。

渚: 那么，我们就来协助这边的防御吧。
渚: 莲实同学，麻烦你指挥了。

莲实: ……我知道了，那么就恭敬不如从命了。
