GroupId: 21070

标题: 第7话称之为枪也太大了

旁白: 千年．游戏开发部

桃井: 千年……不，奇普托斯的学生，大家都拿著各自的武器。

桃井: 所以说，也得帮爱丽丝准备一把武器才行。

桃井: 虽然说方法有很多种，但在千年这里最方便、最能拿到好武器的地方……

桃井: ……果然是工程师部吧。

爱丽丝: 工程师，部……？

绿: 制造、修理机械的专家在千年被称为「巨匠」。

绿: 而工程师部就是集结了这些巨匠们，专精硬体的社团。

桃井: 他们不只是精通所有的机械，也负责武器的修理和改造。

桃井: 或许，在那里有很多没在使用的武器也说不定。

桃井: 所以说，我们赶快去看看吧！

旁白: 工程师部．工作室

咏叶: ……原来如此，我大致了解了。

咏叶: 想要挑选一把好武器，送给新的伙伴……是吗。

咏叶: 如果是这样的话，来我们工程师部真是明智的选择。

咏叶: 对于千年的人来说，胜负往往取决于是否有优秀的技术人员。

咏叶: 在那边有许多我们生产的试作品。

咏叶: 如果是放在那的东西的话，要拿哪个都没问题的唷。

桃井: 太好了！谢谢前辈！

响: 嗨……我是一年级的响唷。不介意的话我可以帮你们找点好东西……

响: ……这个怎么样呢，爱丽丝？

桃井: 嘿～手枪吗？

响: 虽然不太确定，在我看来……爱丽丝应该没有什么战斗的经验才对……

爱丽丝: 这句话需要否定。
爱丽丝: 爱丽丝至今为止已经拯救了人类27次，经历过46次与魔王军的战斗，
爱丽丝: 还进行了超过三位数的地城探索。经验值相当丰富。

绿: ……

响: 那还，真厉害呢……

响: 总之，使用枪械的经验……几乎没有呢。

响: 这样的话果然是手枪比较适合……这把是塑胶制的所以很轻，后座力也很小……

响: 从各种意义上来说都对新手很友善才对……更何况……

响: 这把枪上有著千年有史以来从未搭载过的功能。

桃井: 那，那是什么呢？

绿: 还没听到就觉得很不得了……究竟是怎样的功能呢？

响: 那就是……

响: 「Bluetooth」功能唷。

桃井: ……咦?

响: 可以通过Bluetooth来听音乐或是传送档案的手枪……在我的调查中，从未存在过。

