旬——羁绊剧情 3

羁绊等级：5
场景地点：山海经教室

标题: 还没到那把年纪！

旁白: 山海经教室

旬: 呼……真的上年纪了吗……
旬: 就算不愿意去想……每到这种时候，这种念头总是挥之不去。

旬: 得快点打起精神才行……

老师: 有哪里不舒服吗？

旬: 哎呀。你好，老师。

旬: 没什么。
旬: ……只是有件事让我很在意。

旬: 上午我向心菜叮咛了一下他的饮食习惯，
旬: 结果他对我说：「姊姊已经老了，请先别管别人，管好自己吧。」

旬: 当然，我相信那孩子也不是真心说那些话的……

旬: 只是总觉得最近常常跟心菜起争执。

旬: 那个，虽然有点奇怪……不过老师觉得我看起来年纪很大吗？

旬: 呵呵，老师已经是大人了，问你这种问题或许很可笑吧……
旬: 但我经常听到别人说我看起来比同龄的孩子更成熟。

旬: 因此我心想，如果我长得再年幼一点、更像小孩一点……
旬: 或许就比较能体会心菜的心情了……

老师: 居然那么担心心菜，旬真是温柔的姊姊。

旬: 是吗？我每天都惹心菜不开心，说我成天只会唠叨……

旬: 当然，心菜一定也知道我不是故意的，果然姊姊的立场真是不容易呢。

旬: 偶尔我也会思考，如果我不是梅花园的教官，只是一个平凡学生的话……
旬: 会过著怎么样的生活。

旬: 不用在意年纪，和同辈在嬉闹中度过每一天……

老师: 对我来说，旬也一样是我的宝贵学生。

旬: 是，是这样没错……但听老师这么一说还挺害臊的……

旬: 不过，知道老师是这么想的，就觉得好开心。呵呵……

旬: 哎呀，已经这个时间了。梅花园的孩子们应该已经在等了。

旬: 呵呵，就像老师愿意照顾我一样，我也有必须要照顾的孩子们。

旬: ……不过等我回来之后，也请让我尽情撒娇哦？
