Kei——羁绊剧情 2

羁绊等级：3

标题: Welcome To Kivotos

旁白: （于是为了观摩Kei的课程而前往了千年）

旁白: （Kei一看向这边就露出了非常熟悉的表情）

社会科讲师: 大家好。

社会科讲师: 今天的课程内容是「生活空间与社会」。

社会科讲师: 所以，我想跟大家聊聊其中不可或缺的，关于「都市」的话题。

社会科讲师: 那么……Kei同学？

社会科讲师: 可以跟我们分享你所知道的，关于都市的事吗？

Kei（制服）: 咦？我吗？

社会科讲师: 是的。麻烦你了。

Kei（制服）: 呃，嗯……

Kei（制服）: 所谓的都市，是与自然状态形成最大对比的「文明的象征」。

Kei（制服）: 在Civilization这个词语之中，
Kei（制服）: 已经包含了City的语源Civil，其原文Civitas这个词了。

Kei（制服）: 如果没有都市……

Kei（制服）: 或者是说，没有能让许多人聚集生活的基础的话，世界不太可能变成现在这个样子。

Kei（制服）: 毕竟人类是通过集体思考，将虚构的想法变成现实的生物。

社会科讲师: （咦，咦咦！？）

社会科讲师: （虽然那是正确的观点没错……）

Kei（制服）: 不过另一方面，都市自古至今都存在相同的特点──
Kei（制服）: 那就是过高的人口密度，以及随之而来的环境恶化。

Kei（制服）: 即便到了现代，人们依旧没有特别有效的解决手段。
Kei（制服）: 在资本无比深入生活的现在就更是如此了。

Kei（制服）: ……总而言之，我认为应该先从纾解交通和环境污染问题开始处理比较妥当。

社会科讲师: （今天的课程内容都被说完了！）

社会科讲师: （这……这要我这个讲师如何是好……）

Kei（制服）: 虽然我也搞不太清楚，为什么会从向量谈到量子场的问题……

Kei（制服）: 但总而言之，这是一个要从数学角度证明质量间隙大于0的问题。

Kei（制服）: 不是要求你去计算。那种事还算能够做到。
Kei（制服）: 就像流体力学方程式的一般解，可以用借由计算流体力学硬是求出来一样。

Kei（制服）: 其实这也是因为路径积分所具有的数学结构的局限性──

数学科讲师: 唔，唔唔……！

数学科讲师: 今，今天的课就上到这里。
数学科讲师: 虽然时间还有点早……今天就提前下课吧……

学生A: 好厉害！

学生B: 虽然我一直有在关注，不过这次的转学生也太厉害了吧！

Kei（制服）: 咦，咦咦……？

学生A: 哈啰，你叫Kei酱对吧？
学生A: 以前都在做什么？都是怎么念书的呀？

学生B: 刚才那个，是质量间隙假说问题对吧？
学生B: 毕竟我们学园，本来就是为了解决千年难题而设立的嘛！

Kei（制服）: 啊，不是。那个，我……

旁白: （刚好和Kei对上眼了！）

旁白: （Kei的嘴巴一张一合，似乎正传达著什么！）

Kei（制服）: （你在做什么！快来救我啊！）

旁白: （决定也动动嘴巴回应！）

老师: （Kei酱～和朋友们感情很好呢～）

Kei（制服）: （我今天一定要杀了老师再自杀！！！）

Kei（制服）: 呜，呜呜……好累……

老师: Kei酱懂得真多呢～

Kei（制服）: 你少啰嗦啦！

Kei（制服）: 唉……

Kei（制服）: 既然都提到了就告诉你吧。
Kei（制服）: 如你所见，我几乎什么都知道。

Kei（制服）: ……毕竟从我还是「侍女」的时候开始，就有很多必须知道的事。

Kei（制服）: 在「废墟」短暂建立起千年科学学园的研究园区时，我也连接过各式各样的资料。

Kei（制服）: 所以……

Kei（制服）: 问我想说什么？

Kei（制服）: ……

Kei（制服）: 我有时会觉得……上课这件事情，只是形式上的行为而已。

老师: 不喜欢吗？

Kei（制服）: ……

Kei（制服）: 倒也不是不喜欢……只是有个根本性的疑问罢了。

Kei（制服）: 例如某个学生如果已经什么都知道的话，究竟还有没有必要上学之类的。

老师: 有啊，怎么会没有。

Kei（制服）: 为什么？

老师: 因为跟大家一起玩很开心啊。

Kei（制服）: ……咦？

Kei（制服）: 就只有这样？

<选择>
1. 老师: 当然。

2. 老师: 学生的工作就是好好玩、好好学习嘛。

</选择>

Kei（制服）: 又在糊弄别人……

Kei（制服）: ……

Kei（制服）: 不过，也有跟别人在一起会觉得有负担的学生吧？

<选择>
3. 老师: 当然有。

4. 老师: 但是那种人偶尔……

5. 老师: 也会遇到想要有人陪伴的时候吧。

</选择>

Kei（制服）: ……所以为了那种时候著想，最好别把一切都拒于门外？

Kei（制服）: 唔……

Kei（制服）: 可是，假如那个人真的很挑剔呢？

Kei（制服）: 咦？老师就是为了那种时候存在的……？

Kei（制服）: ……

Kei（制服）: 我知道你的意思，不过老师你也清醒一点吧。

Kei（制服）: 老师的身体只有一个，你知道奇普托斯有多少学生吗？

Kei（制服）: 别说整个奇普托斯，光是千年一个学园就应付不来了吧。
Kei（制服）: 真不知道你哪来的自信……

<选择>
6. 老师: 这么说也有道理。

7. 老师: 那就让Kei酱代替我，跟那些孩子成为朋友吧！

</选择>

Kei（制服）: 为什么又扯到我身上了！

Kei（制服）: 咦？如果是勇者爱丽丝的话，一定会这么做的……？

Kei（制服）: ……

Kei（制服）: …………

Kei（制服）: ………………

Kei（制服）: 唉……真是的……

Kei（制服）: 总是只会说这些有的没的。

Kei（制服）: 知道了，知道了啦。

Kei（制服）: 我会……考虑看看的。

老师: Kei酱真是个好孩子！

Kei（制服）: 我只说会考虑看看而已！
Kei（制服）: 真是受不了你耶！！！
