日步美——羁绊剧情 2

羁绊等级：3
场景地点：三一综合学园．中庭

标题: 背包的秘密

旁白: 三一综合学园．中庭

日步美: 哼，哼哼～♪ 哼哼，哼哼～♬

日步美: 啊，老师！

日步美: 啊！

日步美: 痛痛痛痛……

老师: 还好吗？

日步美: 耶嘿嘿……没，没事的。我总是冒冒失失的，已经很习惯跌倒了！

日步美: 但是真奇怪呢。这附近明明没有会绊倒人的石头之类的东西，居然会突然失去平衡……

老师: 会不会是包包太重了呢？

日步美: 你说这个佩洛洛大人的包包吗？确实可能是这样呢。

日步美: 最近把一堆有的没的东西都放在包包里，就变得重得不得了……正好觉得差不多该整理一下了。

日步美: 刚好趁这个机会，现在就来整理一下吧……

老师: ……这个是什么？

日步美: 啊，老师也注意到了吗！这是印有佩洛洛大人脸的特制OK绷喔！

日步美: 朋友受伤的时候，如果手边没有OK绷的话，不是很困扰？

日步美: 所以就放了一组OK绷在包包里！

老师: …………那这个是？

日步美: 啊，那个是老大哥造型的靠垫！

日步美: 里面装满了羽毛，摸起来很松软的唷。

日步美: 坐在公园的长椅上的时候，放在背后会更舒服的！

老师: …………这个又是？

日步美: 这是有粉红波卡图案的折叠伞！

日步美: 虽然天气预报说今天不会下雨，但总是会有不准的时候对吧？

日步美: 为了那种时候，伞也是必须的！

日步美: 唔嗯……虽然想要整理出一些不需要的东西，但全部都很重要呢。

日步美: 那也没办法，只好暂时先背著这个很重的包包走了……

老师: 日步美是会做好万全准备的那种人呢。

日步美: 是，是这样吗？可能是吧，嘿嘿……

日步美: 因为我只是个平凡的人，为了能够帮上朋友的忙，平时就需要付出更多努力才行。

日步美: 而这个包包就是我努力的象征！

日步美: 啊，突然下雨了……

日步美: 请看，真的碰到派上用场的时候了呢。
日步美: 呵呵。

日步美: 老师，快到这个粉红波卡的伞底下来吧。来，再靠近一点。

日步美: 不用害羞没关系的，快来吧！

旁白: （这之后，和日步美共撑一把伞回到了车站）
